Date,lag_01,lag_02,lag_03,x_01,x_02,y_01,y_02,y_03,y_04,y_05,y_06,y_07
6/22/2015,-0.198260643,-0.328390494,0.129101109,-0.071499661,-0.077332383,0.047260524,-0.108186492,-0.124653005,-0.407182211,-0.029332704,-0.096596343,1.036437363
6/23/2015,-0.07249574,-0.074681523,1.425487637,-0.010016364,0.073594295,0.377736797,-0.055145406,-0.057595917,-0.160432171,-0.02839189,0.098203443,2.486200118
6/24/2015,-0.155243604,-0.251572021,0.587855784,-0.068225555,-0.043400892,0.074092631,-0.090539605,-0.135155295,-0.39102295,-0.02458314,-0.017499306,1.139168903
6/25/2015,-0.22397623,-0.403970125,-0.582376324,-0.248549391,-0.253367706,-0.316675947,-0.129124387,-0.21268774,-0.479653415,-0.033142128,-0.235560655,-0.55733202
6/26/2015,-0.009270775,0.07578054,1.383084999,-0.836299375,0.311714679,0.520396216,-0.004148261,0.092793371,-0.014822017,-0.022808787,0.326141886,3.533379008
6/29/2015,-0.104684864,-0.149222417,0.203677152,-0.185035821,0.03507193,0.12821515,-0.07822812,-0.089122982,-0.278125004,-0.031534685,-0.029359114,0.586932895
6/30/2015,-0.286695604,-0.450686256,-0.590828695,0.057433337,-0.304796783,-0.333307786,-0.131105932,-0.248465852,-0.444695303,-0.031032076,-0.356272744,-0.722708312
7/1/2015,0.045919607,0.054446966,0.207876463,-0.107528563,0.074839972,0.070975297,-0.017690125,-0.039106781,-0.11658176,-0.032039653,0.101611527,0.605936185
7/2/2015,0.039679098,0.122346481,1.612988073,-0.64385302,0.200342653,0.412361782,0.005115018,0.070880814,0.041049298,-0.021770918,0.258542428,2.595064456
7/6/2015,-0.058618139,-0.066027205,1.8608866,-0.553179455,0.037979811,0.134250859,-0.042589086,-0.002223382,-0.121875537,-0.027789519,0.103930082,1.992538433
7/7/2015,-0.043609117,-0.022076454,0.433432815,0.261292768,-0.104960241,-0.413809584,-0.03138414,0.026571179,-0.14762591,-0.026986391,0.073344716,-0.604516894
7/8/2015,-0.25732104,-0.408957343,-0.947967905,0.466563754,-0.393506782,-0.753637806,-0.122104498,-0.199587997,-0.478011605,-0.029499056,-0.245167093,-2.892666372
